symbol,Date,Open,High,Low,Close,Adj Close,Volume
GOOGL,15/1/19,52.900501,54.413502,52.722,54.3255,54.3255,37518000
GOOGL,16/1/19,54.5,55.118,54.400501,54.475498,54.475498,38280000
GOOGL,17/1/19,54.399502,55.035,54.162998,54.956001,54.956001,24896000
GOOGL,18/1/19,55.429501,55.900002,54.964001,55.365002,55.365002,44892000
GOOGL,22/1/19,54.799999,54.948502,53.544498,53.931499,53.931499,39632000
GOOGL,23/1/19,54.342999,54.647499,53.378502,54.220501,54.220501,25194000
GOOGL,24/1/19,54.1255,54.400002,53.500999,54.200001,54.200001,29114000
GOOGL,25/1/19,54.711498,55.167999,54.59,55.0755,55.0755,23260000
GOOGL,28/1/19,54.503502,54.668499,53.730499,53.993,53.993,29334000
GOOGL,29/1/19,54.051998,54.2365,53.300999,53.502998,53.502998,19704000
GOOGL,30/1/19,53.868,54.976002,53.832001,54.899502,54.899502,29452000
GOOGL,31/1/19,55.612,56.383499,55.262501,56.294498,56.294498,40232000
GOOGL,1/2/19,56.114498,56.720001,55.712502,55.931,55.931,33116000
GOOGL,4/2/19,55.9505,57.117001,55.8755,57.070999,57.070999,78408000
GOOGL,5/2/19,56.481499,57.6385,56.18,57.593498,57.593498,82296000
GOOGL,6/2/19,57.463501,57.700001,55.917999,56.144501,56.144501,48256000
GOOGL,7/2/19,55.591,55.599499,54.679501,55.295502,55.295502,38298000
GOOGL,8/2/19,54.743999,55.255001,54.712002,55.118999,55.118999,21766000
GOOGL,11/2/19,55.1875,55.671501,55,55.105999,55.105999,18498000
GOOGL,12/2/19,55.550499,56.643002,55.550499,56.379002,56.379002,35036000
GOOGL,13/2/19,56.652,57.142502,56.299999,56.431499,56.431499,28042000
GOOGL,14/2/19,56.25,56.806499,55.8545,56.459999,56.459999,21106000
GOOGL,15/2/19,56.965,56.965,55.835999,55.981499,55.981499,27826000
GOOGL,19/2/19,55.832001,56.481998,55.832001,56.3255,56.3255,21980000
GOOGL,20/2/19,56.444,56.546501,55.587502,56.029499,56.029499,24090000
GOOGL,21/2/19,55.938999,55.9575,54.898998,55.210499,55.210499,33272000
GOOGL,22/2/19,55.485001,55.862499,55.025002,55.827999,55.827999,29436000
GOOGL,25/2/19,56.0965,56.27,55.705502,55.866501,55.866501,26208000
GOOGL,26/2/19,55.718498,56.321999,55.334999,56.100498,56.100498,35026000
GOOGL,27/2/19,55.7005,56.286499,55.428001,56.144501,56.144501,22092000
GOOGL,28/2/19,55.950001,56.699501,55.920502,56.327499,56.327499,27422000
GOOGL,1/3/19,56.549999,57.5,56.549999,57.425999,57.425999,34086000
